일시,랭킹 카테고리,순위,브랜드명,상품명
2024-02-29 11:00,전체,53,넘버즈인,[탄력미백] 넘버즈인 2번 워터콜라겐 65% 볼륨팩 1매
2024-02-29 11:00,전체,54,구달,[한정기획] 구달 청귤 비타C 잡티케어 세럼 50ml+31ml 증정 기획
2024-02-29 11:00,전체,55,어노브,[1&1] 어노브 실크 오일 에센스 더블 기획세트 (70ml+70ml)
2024-02-29 11:00,전체,56,코스알엑스,[2월 올영픽] 코스알엑스 더 비타민C 23 세럼 20g 더블 기획 (+펩타이드세럼 30ml*2)
2024-02-29 11:00,전체,57,토리든,[단독기획] 토리든 다이브인 저분자 히알루론산 세럼 50ml 기획(+멀티패드 10매)
2024-02-29 11:00,전체,58,클리오,[NEW 포그블랙 컬러] 클리오 킬래쉬 수퍼프루프마스카라 1+1 기획
2024-02-29 11:00,전체,59,메디힐,"[2023어워즈] 메디힐 마데카소사이드 흔적패드 100매 어워즈 기획 (+100매, 마스크2매)"
2024-02-29 11:00,전체,60,토리든,[대용량기획] 토리든 다이브인 저분자 히알루론산 세럼 70ml 대용량 기획(+세럼 10ml)
2024-02-29 11:00,전체,61,아누아,[피지쏙] 아누아 어성초 포어 컨트롤 클렌징오일 350ml 대용량
2024-02-29 11:00,전체,62,웨이크메이크,[1+1기획] 웨이크메이크 내추럴 하드 브로우 펜슬 1+1 기획/단품
2024-02-29 11:00,전체,63,토리든,[단독기획] 토리든 다이브인 저분자 히알루론산 토너 300ml 기획(+100ml 추가 증정)
2024-02-29 11:00,전체,64,어노브,[1&1] 어노브 딥 데미지 리페어 샴푸 더블 기획세트 (500g+500g)
2024-02-29 11:00,전체,65,일소,"[레오제이PICK] 일소 슈퍼 멜팅 세범 소프트너 150ml 기획 (+솜 40매 증정,피지연화제)"
2024-02-29 11:00,전체,66,유시몰,[NEW] 유시몰 화이트닝 퍼플코렉터 치약 106g
2024-02-29 11:00,전체,67,씨퓨리,[수지 PICK / 5종임상] 씨퓨리 닥터33 탈모앰플 20ml
2024-02-29 11:00,전체,68,넘버즈인,[피부결] 넘버즈인 3번 보들보들 결 세럼 50ml 기획 (+15ml 증정)
2024-02-29 11:00,전체,69,퓌,퓌 3D 볼류밍 글로스 12컬러 (30%/70%)
2024-02-29 11:00,전체,70,마샬,마샬 블루투스 스피커 STANMORE2 BLACK
2024-02-29 11:00,전체,71,반디,반디 핑크다이아 젤 단단한 핑크빛영양제
2024-02-29 11:00,전체,72,오쏘몰,오쏘몰 이뮨 멀티비타민&미네랄 30입 (1개월분)
2024-02-29 11:00,전체,73,하트퍼센트,[2월 올영픽] 하트퍼센트 도트 온 무드 립펜슬 20colors
2024-02-29 11:00,전체,74,케어플러스,[6년연속1위]케어플러스 상처커버 스팟패치 102매
