2024/02/18 01:01:30 올리브영 랭킹
랭킹 카테고리,순위,브랜드명,상품명,링크,카테고리
전체,19,투쿨포스쿨,[애교살 메이커] 투쿨포스쿨 프로타주 펜슬,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000120656&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=19,02 > 아이 메이크업 > 아이라이너
전체,20,롬앤,[2023 어워즈/1위틴트] 롬앤 쥬시 래스팅 틴트,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000125955&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=20,02 > 립 메이크업 > 립틴트
전체,21,바이오더마,[썸머썸머 PICK/토심이 화장솜 증정] 센시비오 H2O 850ml,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000130319&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=21,01 > 클렌징 > 클렌징워터
전체,22,라운드랩,라운드랩 자작나무 수분 선크림 50ml 기획(클렌저 20ml 증정),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000149135&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=22,01 > 썬케어 > 썬블록
전체,23,메디앤서,메디앤서 비타 콜라겐 마스크 5매,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000161350&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=23,01 > 마스크팩 > 시트팩
전체,24,메디힐,"[2023어워즈] 메디힐 마데카소사이드 흔적패드 100매 어워즈 기획 (+100매, 마스크2매)",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000192384&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=24,01 > 마스크팩 > 패드
전체,25,더샘,[1등 컨실러] 더샘 커버 퍼펙션 트리플 팟 컨실러 4colors,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000177593&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=25,02 > 베이스 메이크업 > 컨실러
전체,26,에스쁘아,[벚꽃 에디션/단독기획] 에스쁘아 비벨벳 커버쿠션 뉴클래스 기획 (본품+리필),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000184222&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=26,02 > 베이스 메이크업 > 쿠션
전체,27,구달,[1+1기획] 구달 맑은 어성초 진정 수분 선크림 50ml+50ml (24AD),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000198527&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=27,01 > 썬케어 > 썬블록
전체,28,마르시끄,"[브라이언 PICK] 마르시끄 링클 리페어 주름패치(미간, 팔자, 이마) 3종 택 1",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000181697&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=28,06 > 의료/간호용품 > 패치류
전체,29,바이오던스,[300만장 돌파] 바이오던스 바이오 콜라겐 리얼 딥 마스크 4매,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000181343&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=29,01 > 마스크팩 > 시트팩
